"imageLink","price","productName","storeName"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/b8be7ea9-9875-45c5-85a9-88ab057c7be9.jpg.webp?ect=4g","5232000","Samsung Galaxy A72 8/128 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/6/888d15e1-3f10-48a8-af59-8bc605bf0e55.jpg.webp?ect=4g","3629000","XIAOMI REDMI NOTE 10 PRO 8/128 GB NOTE 10 PRO 6/64 GB GARANSI RESMI","STR-STORE"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/5/8f47d2e1-f93f-4355-a4ea-acb64b449c06.jpg.webp?ect=4g","2819000","Samsung Galaxy A22 4G 6/128Gb Garansi Resmi Sein Tam","murahmeriah shop"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/6/370d8d3b-1727-45be-8c2e-98b67cbc99e2.jpg.webp?ect=4g","3828000","Xiaomi POCO X3 Pro Smartphone [8GB/256GB] Garansi Resmi","jikalaku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/1/353c9dad-83f7-4fd1-af24-3f34554e79ac.jpg.webp?ect=4g","2699000","REDMI NOTE 10S RAM 8 128 NFC RAM 6 64 NFC GARANSI RESMI","Bintang Terang Cell"
"https://images.tokopedia.net/img/cache/200-square/product-1/2019/8/12/33121225/33121225_06fbeff8-8bf5-47e7-aead-2d34bc7f723f_595_595.webp?ect=4g","135000","Hp Murah Evercoss N1D Candybar","Kreasindo Online"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/23/b82edefd-0d8a-4930-8bbb-2bb983f3a496.jpg.webp?ect=4g","1475000","Samsung A02 Ram 3 Rom 32 Garansi Resmi","Super Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/12/edbfceb2-b9e4-4649-8ccb-a1c183d2eb9a.png.webp?ect=4g","5499000","XIAOMI POCO F3 8/256GB NFC Snapdragon™ 870 48MP 4520mAh HP Android","Xiaomi Official Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/a1e40911-f0c5-4975-a6f9-0a368d67bc69.jpg.webp?ect=4g","1749000","Samsung Galaxy A03S 4/64 GB Garansi Resmi","Garasi.ku"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/15/7c2b6eab-8bd1-4da9-bd53-2a84d5b712f1.jpg.webp?ect=4g","3749900","SAMSUNG GALAXY A32 5G - NFC - 8GB 128GB 8/128 GARANSI RESMI","SPZ Official Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/8/dd89d3ea-0c4a-491b-a682-fff24eb15e31.jpg.webp?ect=4g","3833000","Xiaomi Poco X3 Pro Ram 8 Rom 256 GB Garansi Resmi","Best Phone Cell"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/22/3dc54c12-1748-4c12-8035-529d32c3c7ce.png.webp?ect=4g","1471000","Samsung Galaxy A02 [32GB/3GB] - Garansi Resmi SEIN","ACS"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/12/ee28e965-6fe2-4a9e-b590-d29808684a92.jpg.webp?ect=4g","6849000","Apple iPhone New - SWAP Mesin Garansi Full","PT Pratama Sntra Semesta"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/19/6786e648-b016-417b-b074-7966c814617b.jpg.webp?ect=4g","3625000","SAMSUNG Galaxy A32 [8/128GB] - Garansi Resmi SEIN","Rejodadi Surabaya"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/5/51794181-b9cd-4dbd-8e40-add2e396436d.jpg.webp?ect=4g","2349000","Samsung Galaxy A12 6/128Gb - Grs resmi Sein","Pluto sellular"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2020/10/6/a785b4a4-58cf-42ba-a0aa-56ad2007e4e4.jpg.webp?ect=4g","226000","Nokia 105 king 2019 Garansi Resmi","Super Store"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/3/eea13c8c-badc-417b-a7ef-024813222b46.jpg.webp?ect=4g","2671000","XIAOMI REDMI NOTE 10S RAM 6/64GB GARANSI RESMI TAM TERMURAH","Hapemall.id"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/31/377cdf0d-d808-41a3-a2b4-6f21a473a448.png.webp?ect=4g","5289000","Realme GT Master Edition 5G 8/256 Ram 8GB Internal 256GB Garansi Resmi","Kreasindo Online"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/25/e888efa7-68fd-4811-bc65-0b970d64f726.png.webp?ect=4g","3249000","Realme 8 8/128GB [Super AMOLED, Helio G95] - GARANSI RESMI","Wahana Selular"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/2/36af7094-eb70-4be9-a55a-6b656ff1e5b2.png.webp?ect=4g","17799000","IPhone 12 Pro Garansi Resmi Ibox","PT Pratama Sntra Semesta"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/22/49653ee3-0363-4523-adff-ff3407383173.jpg.webp?ect=4g","1293000","Xiaomi Redmi 9A 2/32 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/2/429a87d7-7ff5-42c7-bb1d-21f20dbce02c.jpg.webp?ect=4g","4663000","Samsung Galaxy A52 8/128 RAM 8GB Internal 128GB Garansi Resmi SEIN","SFONE OMNI STORE"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/13/659cc15f-1e14-4828-bfd3-e1c44af36d14.png.webp?ect=4g","485000","Xiaomi Redmi Note 2 16GB 32GB HP Murah Redminote 2 16 32 GB Ram 2GB - 16GB, Hitam","kino phone cell"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/21/3ac07425-352d-430a-a362-8f53fc24bf5a.jpg.webp?ect=4g","9700000","IPHONE 11 PRO MAX 256 GB / 64GB Original 100% second inter - 64gb, grey","yunishop00"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/8/24/3df0f1d8-3ef6-4fcf-8b7e-03325649bf99.jpg.webp?ect=4g","17299000","SAMSUNG Note 20 Ultra 5G 12GB 256GB Note20Ultra 5G Garansi Resmi SEIN - BRONZE 256GB 5G","MarkazHp"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/10/4ad50587-4b7e-4f66-b3b8-d5870e6b0616.jpg.webp?ect=4g","6700000","oppo reno 5 marvel edition 8gb/128gb","healthy-V"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/15/c957870c-56a7-4ca1-b956-7d11c985575d.jpg.webp?ect=4g","18500000","iPhone 13 Pro 128GB 256GB 512GB 1TB Sierra Blue Graphite Gold Silver - INTER 128GB, Silver","Putra Group"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/17/511cfc13-d615-4dad-a29e-6711355406e2.jpg.webp?ect=4g","5100000","APPLE IPHONE 8 PLUS 256GB NEW BARU ORIGINAL SILENT LTE GARANSI 1 TAHUN - RED","ABC STORE88"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/22/c5aab991-d054-4327-ba63-75b50af8c5f1.jpg.webp?ect=4g","139000","Nokia 105 2019 Dual Sim bahasa indonesia - Hitam","Cupid."
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/17/ab5c98fe-7d66-4d44-9bfe-c647a0c4531f.jpg.webp?ect=4g","17997000","Apple iPhone 13 128/256/512 GB ROM 128 256 512GB Handphone Garansi TAM - Blue, 256GB","SUPER_GADGET"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/8/75a4f74e-fe47-4d02-87c0-08bb070e73f7.jpg.webp?ect=4g","1618650","Oppo F9 Ram 6GB / 128GB Garansi","TASSHELSHOP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/7/042ebee0-9114-4230-8dd7-7a98c56cd172.png.webp?ect=4g","3190000","iphone 7 plus 128gb 32gb 256 gb second x inter Mulus Kondisi Perfect - 32 gb, Black Mate","kino phone cell"
"https://images.tokopedia.net/img/cache/200-square/product-1/2020/3/13/737535439/737535439_3c47858f-d49a-4d75-bea1-aa5840565b69_1074_1074.jpg.webp?ect=4g","226000","Nokia 105 King (2019) Garansi Resmi TAM","Senjaya Selindo"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/29/aaab2129-8af7-4ffe-af34-61a4f0368489.jpg.webp?ect=4g","855000","Infinix Itel Vision A26 2/32 RAM 2GB ROM 32GB GARANSI RESMI","Shadow Gold"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/7/31/8ab2bc94-c546-45ed-b9fe-c9897210fc54.png.webp?ect=4g","1705000","Realme C21Y 4/64 Ram 4GB Internal 64GB Garansi Resmi","Kreasindo Online"
